id,slug,title,category,style,difficulty,times_minutes,drink_pairing,note,file_path
1,zucchini-nudeln-mit-hackfleisch-tomatensauce,Zucchini-Nudeln mit Hackfleisch-Tomatensauce,Low Carb,Schnell & einfach,2,25,"Ein leichter Rotwein, muss nicht schwer sein, das Gericht selbst ist ja auch eher leicht.","Zoodles ersetzen keine echten Nudeln eins zu eins im Geschmack, aber als Low-Carb-Alternative mit ordentlich Sauce drüber merkt man den Unterschied kaum.",Low_Carb/01_Zoodles_Hackfleisch_Sauce.md
2,gemuese-omelett-mit-kaese,Gemüse-Omelett mit Käse,Low Carb,Schnell & einfach,1,15,"Ein frisch gepresster Orangensaft, falls es eher als Brunch gedacht ist.","Das Rezept, das du kochst, wenn der Kühlschrank fast leer ist, aber Eier und irgendein Gemüserest noch da sind. Funktioniert eigentlich immer.",Low_Carb/02_Gemuese_Omelett.md
3,haehnchenbrust-mit-blumenkohlreis-risotto,Hähnchenbrust mit Blumenkohlreis-Risotto,Low Carb,Will beeindrucken,3,40,"Ein trockener Weißwein, zum Beispiel ein Grauburgunder.","Blumenkohlreis-Risotto ist kein Ersatz für echtes Risotto im Geschmack, aber als eigenes Gericht mit Parmesan und Butter überraschend gut – und deutlich schneller gemacht.",Low_Carb/03_Haehnchen_Blumenkohlrisotto.md
4,gefuellte-paprika-mit-hackfleisch-ueberbacken,"Gefüllte Paprika mit Hackfleisch, überbacken",Low Carb,Will beeindrucken,3,50,"Ein kräftiger Rotwein wie ein Primitivo, passt gut zu Paprika und Käse.","Optisch macht das immer mehr her, als es an Aufwand tatsächlich ist – gefüllte Paprika sehen nach Restaurant aus, sind aber im Grunde nur Hackfleischsauce mit Verpackung.",Low_Carb/04_Gefuellte_Paprika_ueberbacken.md
5,haehnchen-gemuese-pfanne-mit-sojasauce-und-reis,Hähnchen-Gemüse-Pfanne mit Sojasauce und Reis,Normal,Schnell & einfach,1,25,"Ein helles Bier, passt gut zur asiatisch angehauchten Würze.","Das Standardrezept, das jeder können sollte, der wenig Zeit hat. Fast beliebig austauschbar mit dem, was gerade im Kühlschrank liegt.",Normal/01_Haehnchen_Gemuese_Pfanne.md
6,spaghetti-bolognese-mit-dem-einen-trick,Spaghetti Bolognese (mit dem einen Trick),Normal,Schnell & einfach,2,35,"Ein einfacher italienischer Rotwein, zum Beispiel ein Sangiovese.","Der Milch-Trick ist einer von den Dingen, die niemand erwartet, aber jeder schmeckt. Kostet nichts extra, macht aber den Unterschied zwischen ""okay"" und ""schmeckt fast wie bei Oma"".",Normal/02_Spaghetti_Bolognese_Upgrade.md
7,butterzartes-steak-mit-rosmarinkartoffeln,Butterzartes Steak mit Rosmarinkartoffeln,Normal,Will beeindrucken,3,45,"Ein kräftiger Rotwein, zum Beispiel ein Malbec oder Rioja – muss nicht die teuerste Flasche sein, Hauptsache kräftig genug für's Fleisch.","Steak braten ist eins der Dinge, bei denen Selbstvertrauen wichtiger ist als Erfahrung. Pfanne heiß, Finger weg vom ständigen Wenden, dann klappt's.",Normal/03_Steak_Rosmarinkartoffeln.md
8,lachsfilet-mit-zitronen-butter-sauce-auf-blattspinat,Lachsfilet mit Zitronen-Butter-Sauce auf Blattspinat,Normal,Will beeindrucken,3,35,"Ein trockener Weißwein mit etwas mehr Körper, z. B. ein Chardonnay – passt gut zur Butter-Sauce.","Fisch schreckt viele ab, ist aber oft schneller fertig als Fleisch. Wichtig ist nur: Pfanne heiß genug, Filet trocken, dann bleibt nicht viel schiefzugehen.",Normal/04_Lachs_Zitronenbutter_Spinat.md
9,kichererbsen-kokos-curry-one-pot,Kichererbsen-Kokos-Curry (One-Pot),Vegan,Schnell & einfach,2,25,"Ein kühles helles Bier oder, alkoholfrei, Ingwer-Limo. Kein Wein nötig, der geht bei Curry sowieso oft unter.","Das ist eines von den Gerichten, die am nächsten Tag noch besser schmecken. Kochst du eh grade, mach ruhig die doppelte Menge.",Vegan/01_Kichererbsen_Kokos_Curry.md
10,ofengemuese-bowl-mit-hummus-und-couscous,Ofengemüse-Bowl mit Hummus und Couscous,Vegan,Schnell & einfach,2,30,"Ein trockener Weißwein, nichts Kompliziertes – ein einfacher Sauvignon Blanc aus dem Supermarkt reicht.","Läuft quasi von allein, während der Ofen arbeitet. Gutes Rezept für ""ich hab Hunger, aber keine Lust auf Stress"".",Vegan/02_Ofengemuese_Hummus_Bowl.md
